season,player_id,player_name,team_id,team_name,conference,position,games,starts,dropbacks,pass_attempts,sacks_taken,pressures_faced,completions,pass_yards,pass_td,interceptions,sacks_yards_lost,air_yards,yac,completion_pct,yards_per_att,adj_yards_per_att,yards_per_dropback,td_rate,int_rate,air_yards_per_att,yac_per_comp,pressure_rate,sack_rate,epa_total_pass,epa_per_dropback,ppa_total_pass,ppa_per_dropback,success_rate,explosive_pass_rate
2019,246044,Tyler Johnson,135,Minnesota,Big Ten,WR,,,1.0,1,0.0,,1.0,17,1.0,0.0,0.0,,,1.0,17.0,37.0,17.0,1.0,0.0,,,,0.0,5.179559179489368,5.179559179489368,2.859452485460281,2.859452485460281,1.0,0.0
2019,3121083,Jacob Knipp,2458,Northern Colorado,Big Sky,QB,,,69.0,64,5.0,,34.0,250,1.0,1.0,40.0,,,0.53125,3.90625,3.515625,3.6231884057971016,0.015625,0.015625,,,,0.07246376811594203,-2.200551183595293,-0.03189204613906222,-8.406043886158415,-0.12182672298780312,0.375,0.078125
2019,3122176,Gage Gubrud,265,Washington State,Pac-12,QB,,,11.0,11,0.0,,9.0,76,1.0,0.0,0.0,,,0.8181818181818182,6.909090909090909,8.727272727272727,6.909090909090909,0.09090909090909091,0.0,,,,0.0,9.358074377174779,0.8507340342886163,6.675240573214581,0.6068400521104165,0.5454545454545454,0.09090909090909091
2019,3122413,Nick Basquine,201,Oklahoma,Big 12,WR,,,3.0,3,0.0,,2.0,-1,1.0,1.0,0.0,,,0.6666666666666666,-0.3333333333333333,-8.666666666666666,-0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.0,12.40965044993517,4.136550149978389,3.3063471541112106,1.1021157180370702,1.0,0.3333333333333333
2019,3122790,Darius Wade,189,Bowling Green,Mid-American,QB,,,139.0,134,5.0,,73.0,670,3.0,3.0,36.0,,,0.5447761194029851,5.0,4.440298507462686,4.820143884892087,0.022388059701492536,0.022388059701492536,,,,0.03597122302158273,14.274677702590324,0.10269552304021816,-5.146998468992224,-0.03702876596397283,0.3805970149253731,0.05970149253731343
2019,3123854,Aston Walter,242,Rice,Conference USA,RB,,,1.0,1,0.0,,1.0,27,0.0,0.0,0.0,,,1.0,27.0,27.0,27.0,0.0,0.0,,,,0.0,3.4242732830145823,3.4242732830145823,1.825993199017988,1.825993199017988,1.0,1.0
2019,3124529,Kilton Anderson,2729,William & Mary,CAA,QB,,,34.0,32,2.0,,14.0,170,0.0,1.0,14.0,,,0.4375,5.3125,3.90625,5.0,0.0,0.03125,,,,0.058823529411764705,7.012820198253885,0.2062594175957025,-4.1588154548865095,-0.1223181016143091,0.40625,0.09375
2019,3124884,Gunnar Amos,304,Idaho State,Big Sky,QB,,,17.0,17,0.0,,7.0,45,0.0,1.0,0.0,,,0.4117647058823529,2.6470588235294117,0.0,2.6470588235294117,0.0,0.058823529411764705,,,,0.0,-0.2128577504853082,-0.0125210441461946,-4.135027462904027,-0.24323690958258984,0.35294117647058826,0.0
2019,3124900,Jake Luton,204,Oregon State,Pac-12,QB,,,405.0,383,22.0,,221.0,2436,28.0,3.0,188.0,,,0.577023498694517,6.360313315926893,7.469973890339426,6.014814814814815,0.0731070496083551,0.007832898172323759,,,,0.05432098765432099,205.30950586639634,0.5069370515219662,124.54205267936743,0.3075112411836233,0.49869451697127937,0.09921671018276762
2019,3125336,Kevin Thomson,16,Sacramento State,Big Sky,QB,,,98.0,94,4.0,,53.0,432,4.0,1.0,25.0,,,0.5638297872340425,4.595744680851064,4.968085106382978,4.408163265306122,0.0425531914893617,0.010638297872340425,,,,0.04081632653061224,26.624790250223075,0.27168153316554156,9.954246753101529,0.10157394646021968,0.4148936170212766,0.05319148936170213
